|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9907583. 
Chain 1 : 200ms | 33	33	33
Chain 2 : 250ms | 41	41	41

|TID:1211985856|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807763101001530-End@1726807763134324042-Cost:33322512(ns) and Published msg: 0]. 

|TID:1211985856|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807763175332825-End@1726807763216771832-Cost:41439007(ns) and Published msg: 0]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807763175460787-End@1726807763219939653-Cost:44478866(ns) and Route msg: 0]. 

|TID:1107670784|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807763220261546-End@1726807763252982090-Cost:32720544(ns) and Received msg: 0]. 

|TID:1211985856|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807763217219833-End@1726807763264429881-Cost:47210048(ns) and Route msg: 0]. 

|TID:1107670784|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807763264762875-End@1726807763305272435-Cost:40509560(ns) and Received msg: 0]. 

|TID:1211985856|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807763301049498-End@1726807763333794446-Cost:32744948(ns) and Published msg: 1]. 

|TID:1211985856|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807763425426366-End@1726807763465907220-Cost:40480854(ns) and Published msg: 1]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807763425546855-End@1726807763469619419-Cost:44072564(ns) and Route msg: 1]. 

|TID:1107670784|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807763469957168-End@1726807763503053689-Cost:33096521(ns) and Received msg: 1]. 

|TID:1211985856|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807763466400799-End@1726807763518775264-Cost:52374465(ns) and Route msg: 1]. 

|TID:1107670784|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807763503378262-End@1726807763536470197-Cost:33091935(ns) and Published msg: 2]. 

|TID:1211985856|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807763519153244-End@1726807763559662650-Cost:40509406(ns) and Received msg: 1]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807763536959969-End@1726807763575288633-Cost:38328664(ns) and Route msg: 2]. 

|TID:1211985856|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807763575471656-End@1726807763608805408-Cost:33333752(ns) and Received msg: 2]. 

|TID:1211985856|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807763675333949-End@1726807763716735514-Cost:41401565(ns) and Published msg: 2]. 

|TID:1107670784|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807763700909960-End@1726807763734234661-Cost:33324701(ns) and Published msg: 3]. 

|TID:1211985856|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807763717169814-End@1726807763770161126-Cost:52991312(ns) and Route msg: 2]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807763734645497-End@1726807763779555654-Cost:44910157(ns) and Route msg: 3]. 

|TID:1211985856|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807763770474428-End@1726807763811906898-Cost:41432470(ns) and Received msg: 2]. 

|TID:1107670784|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807763779843779-End@1726807763813143572-Cost:33299793(ns) and Received msg: 3]. 

|TID:1107670784|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807763900976016-End@1726807763933767151-Cost:32791135(ns) and Published msg: 4]. 

|TID:1211985856|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807763925385687-End@1726807763965328587-Cost:39942900(ns) and Published msg: 3]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807763934218064-End@1726807763978380625-Cost:44162561(ns) and Route msg: 4]. 

|TID:1107670784|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807763978608804-End@1726807764011302409-Cost:32693605(ns) and Received msg: 4]. 

|TID:1211985856|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807763965750091-End@1726807764012385627-Cost:46635536(ns) and Route msg: 3]. 

|TID:1107670784|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807764012567021-End@1726807764053982644-Cost:41415623(ns) and Received msg: 3]. 

|TID:1107670784|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807764100960578-End@1726807764133765798-Cost:32805220(ns) and Published msg: 5]. 

|TID:1107670784|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807764175277088-End@1726807764216673329-Cost:41396241(ns) and Published msg: 4]. 

|TID:1211985856|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807764175387279-End@1726807764219872262-Cost:44484983(ns) and Route msg: 5]. 

|TID:1211985856|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807764220134236-End@1726807764252733265-Cost:32599029(ns) and Received msg: 5]. 

|TID:1107670784|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807764217023628-End@1726807764264218414-Cost:47194786(ns) and Route msg: 4]. 

|TID:1211985856|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807764264412364-End@1726807764305832213-Cost:41419849(ns) and Received msg: 4]. 

|TID:1107670784|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807764300898829-End@1726807764334239335-Cost:33340506(ns) and Published msg: 6]. 

|TID:1107670784|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807764425421294-End@1726807764466492248-Cost:41070954(ns) and Published msg: 5]. 

|TID:1211985856|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807764425547633-End@1726807764470100455-Cost:44552822(ns) and Route msg: 6]. 

|TID:1211985856|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807764470382416-End@1726807764503378848-Cost:32996432(ns) and Received msg: 6]. 

|TID:1107670784|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807764466918526-End@1726807764519190876-Cost:52272350(ns) and Route msg: 5]. 

|TID:1211985856|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807764503527688-End@1726807764536692080-Cost:33164392(ns) and Published msg: 7]. 

|TID:1107670784|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807764519418128-End@1726807764559960269-Cost:40542141(ns) and Received msg: 5]. 

|TID:1211985856|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807764537005718-End@1726807764575237313-Cost:38231595(ns) and Route msg: 7]. 

|TID:1107670784|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807764575436506-End@1726807764608807430-Cost:33370924(ns) and Received msg: 7]. 

|TID:1107670784|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807764675409885-End@1726807764716166108-Cost:40756223(ns) and Published msg: 6]. 

|TID:1211985856|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807764700920994-End@1726807764733988342-Cost:33067348(ns) and Published msg: 8]. 

|TID:1107670784|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807764716599784-End@1726807764768956380-Cost:52356596(ns) and Route msg: 6]. 

|TID:1211985856|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807764734374050-End@1726807764778850915-Cost:44476865(ns) and Route msg: 8]. 

|TID:1107670784|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807764769251192-End@1726807764809728510-Cost:40477318(ns) and Received msg: 6]. 

|TID:1211985856|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807764779110501-End@1726807764811884979-Cost:32774478(ns) and Received msg: 8]. 

|TID:1211985856|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807764901021541-End@1726807764933837468-Cost:32815927(ns) and Published msg: 9]. 

|TID:1107670784|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807764925388769-End@1726807764966220739-Cost:40831970(ns) and Published msg: 7]. 

|TID:1211985856|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807764934275780-End@1726807764978528711-Cost:44252931(ns) and Route msg: 9]. 

|TID:1211985856|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807764978739619-End@1726807765011331772-Cost:32592153(ns) and Received msg: 9]. 

|TID:1107670784|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807764966613531-End@1726807765013211018-Cost:46597487(ns) and Route msg: 7]. 

|TID:1211985856|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807765013481143-End@1726807765054099467-Cost:40618324(ns) and Received msg: 7]. 

|TID:1211985856|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807765101054956-End@1726807765133710972-Cost:32656016(ns) and Published msg: 10]. 

|TID:1211985856|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807765175384308-End@1726807765216442548-Cost:41058240(ns) and Published msg: 8]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807765175509532-End@1726807765219887682-Cost:44378150(ns) and Route msg: 10]. 

|TID:1107670784|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807765220184445-End@1726807765253262639-Cost:33078194(ns) and Received msg: 10]. 

|TID:1211985856|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807765216815830-End@1726807765262953355-Cost:46137525(ns) and Route msg: 8]. 

|TID:1107670784|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807765263161865-End@1726807765304577900-Cost:41416035(ns) and Received msg: 8]. 

|TID:1211985856|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807765300882911-End@1726807765334242758-Cost:33359847(ns) and Published msg: 11]. 

|TID:1211985856|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807765425322162-End@1726807765466359806-Cost:41037644(ns) and Published msg: 9]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807765425458687-End@1726807765469994094-Cost:44535407(ns) and Route msg: 11]. 

|TID:1107670784|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807765470296565-End@1726807765503062233-Cost:32765668(ns) and Received msg: 11]. 

|TID:1211985856|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807765466722399-End@1726807765519159843-Cost:52437444(ns) and Route msg: 9]. 

|TID:1107670784|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807765503245583-End@1726807765536020506-Cost:32774923(ns) and Published msg: 12]. 

|TID:1211985856|-->[Chain2-Command3.exe:410(100us)]-->[Start@1726807765519403099-End@1726807765560154550-Cost:40751451(ns) and Received msg: 9]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807765536358029-End@1726807765575073430-Cost:38715401(ns) and Route msg: 12]. 

|TID:1211985856|-->[Chain1-Command3.exe:330(100us)]-->[Start@1726807765575245335-End@1726807765608584322-Cost:33338987(ns) and Received msg: 12]. 

|TID:1211985856|-->[Chain2-Sensor1.exe:410(100us)]-->[Start@1726807765675393841-End@1726807765716325256-Cost:40931415(ns) and Published msg: 10]. 

|TID:1107670784|-->[Chain1-Sensor1.exe:330(100us)]-->[Start@1726807765700992139-End@1726807765733925803-Cost:32933664(ns) and Published msg: 13]. 

|TID:1211985856|-->[Chain2-Transfer2.exe:410(100us)]-->[Start@1726807765716706393-End@1726807765769183123-Cost:52476730(ns) and Route msg: 10]. 

|TID:1107670784|-->[Chain1-Transfer2.exe:330(100us)]-->[Start@1726807765734327245-End@1726807765778785856-Cost:44458611(ns) and Route msg: 13]. 

